kind	name	threshold	rc	wall_s	inadequate	spec_failures	max_osr	compile_count	compiles	jits	sites	retry_after	retry_before	reopt	phase_ms	dfg_compile_ms	ftl_compile_ms	total_compile_ms	stub_bytes_sum	unknown_option	repro	log
sweep	D	10	0	0.0114	3	3	2	0		{}	f@4/InadequateCoverage=3	0	0	0	0.471	0.258	0.0	0.456	544	0	name=D-exactly-3 sum=3 warmup_ms=1.398 phase_ms=0.471 after_ms=0.332 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=3	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-D-t10.log
sweep	E	0	0	0.0117	1	1	0	0		{}	f@4/InadequateCoverage=1	1	0	1	0.275	0.425	0.0	0.627	544	0	name=E-exactly-5 sum=5 warmup_ms=1.374 phase_ms=0.275 after_ms=0.720 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=5	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-E-t0.log
sweep	E	1	0	0.0112	2	2	1	0		{}	f@4/InadequateCoverage=2	1	0	1	0.394	0.399	0.0	0.595	544	0	name=E-exactly-5 sum=5 warmup_ms=1.296 phase_ms=0.394 after_ms=0.673 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=5	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-E-t1.log
sweep	E	2	0	0.0113	3	3	2	0		{}	f@4/InadequateCoverage=3	1	0	1	0.491	0.398	0.0	0.586	544	0	name=E-exactly-5 sum=5 warmup_ms=1.310 phase_ms=0.491 after_ms=0.716 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=5	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-E-t2.log
sweep	E	3	0	0.0116	4	4	3	0		{}	f@4/InadequateCoverage=4	1	0	1	0.608	0.424	0.0	0.61	544	0	name=E-exactly-5 sum=5 warmup_ms=1.313 phase_ms=0.608 after_ms=0.751 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=5	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-E-t3.log
sweep	E	5	0	0.0115	5	5	4	0		{}	f@4/InadequateCoverage=5	0	0	0	0.722	0.247	0.0	0.43	544	0	name=E-exactly-5 sum=5 warmup_ms=1.416 phase_ms=0.722 after_ms=0.364 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=5	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-E-t5.log
sweep	E	10	0	0.0111	5	5	4	0		{}	f@4/InadequateCoverage=5	0	0	0	0.656	0.214	0.0	0.389	544	0	name=E-exactly-5 sum=5 warmup_ms=1.096 phase_ms=0.656 after_ms=0.334 dfg_before=1 dfg_after_hits=1 dfg_after=1 retry_before=0 retry_after_hits=0 retry_after=0 reopt=0 hits=5	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-E-t10.log
sweep	F	0	0	0.0112	1	1	0	0		{}	f@4/InadequateCoverage=1	1	0	1	0.289	0.431	0.0	0.624	544	0	name=F-exactly-6 sum=6 warmup_ms=1.273 phase_ms=0.289 after_ms=0.784 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=6	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-F-t0.log
sweep	F	1	0	0.0112	2	2	1	0		{}	f@4/InadequateCoverage=2	1	0	1	0.263	0.438	0.0	0.627	544	0	name=F-exactly-6 sum=6 warmup_ms=1.232 phase_ms=0.263 after_ms=0.800 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=6	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-F-t1.log
sweep	F	2	0	0.0114	3	3	2	0		{}	f@4/InadequateCoverage=3	1	0	1	0.507	0.402	0.0	0.594	544	0	name=F-exactly-6 sum=6 warmup_ms=1.351 phase_ms=0.507 after_ms=0.755 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=6	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-F-t2.log
sweep	F	3	0	0.0115	4	4	3	0		{}	f@4/InadequateCoverage=4	1	0	1	0.606	0.386	0.0	0.575	544	0	name=F-exactly-6 sum=6 warmup_ms=1.119 phase_ms=0.606 after_ms=0.711 dfg_before=1 dfg_after_hits=1 dfg_after=2 retry_before=0 retry_after_hits=1 retry_after=1 reopt=1 hits=6	/workspace/Tools/InadequateCoverageResearch/results/v2-candidate-3a999a1a-F-t3.log
